Packung,Artikel,Farbe,GrÃ¶ÃŸe,Menge
54,16554,6941,3,50
54,16730,2020,3,50
54,16834,2000,2,50
54,16866,3010,4,50
55,11432,3010,5,50
55,16397,3010,1,50
55,16501,2060,2,50
55,16512,7820,4,50
55,16524,3400,2,50
56,16162,7926,3,50
56,16518,8000,4,50
56,16523,6249,3,50
56,16523,7820,2,50
56,16730,2020,3,50
56,16730,8584,3,50
57,16094,3010,3,50
57,16501,2060,2,50
57,16522,3010,5,50
57,16523,7820,2,50
58,16095,3010,3,50
58,16522,3010,4,50
58,16523,6249,2,50
58,16523,6249,3,50
59,16524,3010,4,50
59,16575,3010,3,50
59,16575,3010,3,50
60,16609,2000,5,50
60,16609,2000,5,50
60,16609,3000,3,50
60,16609,3400,2,50
60,16609,3400,4,50
60,16609,3400,4,50
60,16609,6120,3,50
60,16609,6120,3,50
60,16609,6120,4,50
60,16609,6120,4,50
60,46331,2000,2,50
61,16609,2000,3,50
61,16609,2000,3,50
61,16609,2000,4,50
61,16609,2000,5,50
61,16609,2000,5,50
61,16609,3000,3,50
61,16609,3400,2,50
61,16609,3400,2,50
61,16609,3400,3,50
61,16609,6120,3,50
61,46331,2000,1,50
62,16746,2020,3,50
62,16746,2020,3,50
62,16746,3010,5,50
62,86242,3010,3,50
62,86473,3010,3,50
62,86473,3010,3,50
62,86749,2020,2,50
62,86749,7134,2,50
62,86749,7134,2,50
62,86749,7134,3,50
63,16746,3010,3,50
63,16746,3010,3,50
63,16746,3010,3,50
63,16746,3010,4,50
63,86242,3010,3,50
63,86242,4100,3,50
63,86473,3010,3,50
63,86473,3010,3,50
63,86473,3403,3,50
63,86864,3010,1,50
64,14435,3080,4,50
64,14435,3080,4,50
64,14435,3080,5,50
64,14435,3080,5,50
64,14435,3080,6,50
64,14435,3080,6,50
64,14435,4320,5,50
64,14435,5930,6,50
64,14435,6370,4,50
64,14435,6370,4,50
64,14435,6370,5,50
65,14435,3000,6,50
65,14435,3000,7,50
65,14435,3070,5,50
65,14435,3080,4,50
65,14435,3080,5,50
65,14435,5450,4,50
